location,latitude,longitude,number
Segedunum Fort,54.98764,-1.532115,441913280520
Vallum Farm & Tea Room,55.008751,-1.927018,441913280521
The Errington Arms Public House,55.012558,-2.02156,441913280538
Housesteads Roman Fort,55.011822,-2.331782,441913280537
Once Brewed Visitor Centre,54.996319,-2.388512,441913280536
Walltown Quarry,54.98698,-2.519565,441913280535
Birdoswald Visitor Centre,54.990021,-2.603127,441913280534
Walby Farm Park Visitor Centre,54.935692,-2.874963,441913280526
Carlisle Castle Visitor Centre,54.897182,-2.942473,441913280525
Castle Keep,54.968742,-1.61038,441913280524
Brocolitia,55.035591,-2.220269,441913280523
Housesteads,55.010132,-2.32266,441913280522
Steel Rigg,55.002991,-2.390963,441913280586
Cawfields,54.992886,-2.450167,441913280515
Tullie House Viewing Point,54.895824,-2.940662,441913280585
Burgh by Sands,54.922157,-3.046147,441913280509
Bowness on Solway,54.95208,-3.207218,441913280507
