longitude,latitude
-3.213790,54.953636
-3.211580,54.953888
-3.208971,54.952850
-3.200643,54.949402
-3.196542,54.949177
-3.194625,54.949100
-3.186906,54.949310
-3.182360,54.943893
-3.180641,54.941631
-3.177793,54.940540
-3.173612,54.940144
-3.170726,54.940094
-3.162967,54.938385
-3.161552,54.934978
-3.159398,54.931164
-3.157619,54.929489
-3.155203,54.929188
-3.145575,54.928207
-3.093826,54.926388
-3.089451,54.926247
-3.080230,54.924625
-3.064126,54.921654
-3.050163,54.922623
-3.048243,54.922459
-3.046089,54.922054
-3.026262,54.924252
-3.019079,54.924297
-3.018394,54.924194
-3.013582,54.922173
-3.012711,54.921528
-3.011807,54.920280
-3.010894,54.918510
-3.008839,54.916279
-3.003753,54.915318
-3.002942,54.915028
-3.002198,54.914738
-3.000562,54.914398
-2.997802,54.913105
-2.991657,54.914051
-2.990756,54.913940
-2.985708,54.910950
-2.985153,54.909172
-2.983871,54.907822
-2.983084,54.906311
-2.981762,54.904518
-2.980342,54.902866
-2.979772,54.902409
-2.977976,54.901485
-2.974725,54.900436
-2.971371,54.899757
-2.966305,54.898895
-2.965745,54.898838
-2.958669,54.898792
-2.949605,54.900352
-2.940753,54.902225
-2.937394,54.904408
-2.933016,54.907269
-2.924231,54.912766
-2.919283,54.915802
-2.916383,54.917690
-2.901310,54.923290
-2.893686,54.925900
-2.885043,54.931442
-2.880200,54.934685
-2.878302,54.935101
-2.875262,54.935596
-2.873803,54.935753
-2.833902,54.942871
-2.810520,54.947582
-2.800497,54.948097
-2.798770,54.948212
-2.785830,54.955509
-2.782584,54.956367
-2.780628,54.957909
-2.774247,54.963165
-2.766485,54.967152
-2.746786,54.971775
-2.734970,54.971603
-2.732352,54.971966
-2.710865,54.972134
-2.692491,54.973850
-2.683383,54.974411
-2.672237,54.974007
-2.656130,54.977802
-2.637151,54.982574
-2.632567,54.984135
-2.617227,54.987118
-2.602559,54.990395
-2.599516,54.990707
-2.594924,54.990971
-2.587896,54.991943
-2.579358,54.989689
-2.577273,54.989731
-2.573912,54.989193
-2.564564,54.989643
-2.552616,54.988277
-2.545374,54.987888
-2.538694,54.987934
-2.529937,54.987949
-2.520465,54.987587
-2.516296,54.988483
-2.511994,54.990601
-2.506272,54.992878
-2.502018,54.993553
-2.498103,54.994347
-2.493079,54.995647
-2.487166,54.996258
-2.481333,54.995113
-2.478564,54.995552
-2.476599,54.995365
-2.470442,54.995350
-2.463920,54.995476
-2.461474,54.995579
-2.457715,54.995232
-2.451712,54.993050
-2.445950,54.994160
-2.441563,54.994926
-2.437507,54.995369
-2.436090,54.995201
-2.435573,54.995632
-2.432745,54.995876
-2.430060,54.995651
-2.425937,54.996357
-2.422301,54.997696
-2.417170,54.998741
-2.412927,54.999119
-2.410040,55.000950
-2.405428,55.001778
-2.400739,55.002262
-2.399136,55.002159
-2.389528,55.002331
-2.387954,55.001328
-2.386614,55.001484
-2.385504,55.002300
-2.379587,55.003067
-2.378846,55.003498
-2.377358,55.003757
-2.374598,55.003403
-2.370252,55.004894
-2.366529,55.005161
-2.358078,55.005878
-2.355129,55.009483
-2.352232,55.010494
-2.340531,55.012466
-2.339336,55.012150
-2.337660,55.012344
-2.335803,55.013058
-2.329548,55.013783
-2.328327,55.014919
-2.325211,55.016640
-2.317421,55.018383
-2.314630,55.024368
-2.313627,55.024799
-2.297037,55.027199
-2.296184,55.027885
-2.288474,55.028889
-2.278828,55.029415
-2.269852,55.030781
-2.263218,55.031181
-2.255207,55.031967
-2.216225,55.036270
-2.200125,55.037804
-2.198040,55.038555
-2.195170,55.038841
-2.161555,55.031406
-2.157986,55.030640
-2.140195,55.026222
-2.133726,55.024811
-2.104964,55.019596
-2.072708,55.019203
-2.032097,55.014164
-2.006968,55.010834
-1.992089,55.011448
-1.981499,55.013149
-1.972301,55.012890
-1.949964,55.011642
-1.931345,55.010323
-1.907705,55.008549
-1.880622,55.009403
-1.843690,55.003716
-1.834319,55.003773
-1.794144,54.997681
-1.783254,54.996368
-1.760790,54.995995
-1.747426,54.995834
-1.736269,54.993507
-1.724553,54.991276
-1.714931,54.989208
-1.705581,54.987434
-1.695729,54.985394
-1.688901,54.983719
-1.663570,54.977226
-1.630333,54.971855
-1.613993,54.969601
-1.589936,54.975811
-1.576511,54.977615
-1.570632,54.978828
-1.539994,54.986111
-1.532697,54.988056
-1.527295,54.985786
